row_number,point_name,x,y,z
1,ACUaG,24.96293613683234,15.617261209629715,3.5632224223764664
2,HfRHm,20.30432578183397,15.868927186685324,13.194774636098906
3,kqgoK,22.698923262033013,14.850492191080765,0.6299468582186218
4,HHcqD,19.232579575671053,13.850068966639302,11.744606771155752
5,loSqz,21.56041493050926,12.94462001953342,19.2116881648204
6,bkXsk,18.086911249053426,17.290962106973208,10.94585900390376
7,xrNgu,17.613908237425346,13.609578113372502,15.86220847663755
8,zAWrL,20.93875743403417,14.180135817336115,12.341044337321152
9,gpmma,19.977556090207763,15.456507902006765,8.507869973058547
10,IVLEU,20.95443642979977,12.726214137555814,9.243441634169006
11,eMwhr,17.439926975444276,15.886763175025395,3.630390536442878
12,WWvcw,18.403493981803944,12.924573522858058,9.72929235863695
13,NxYXm,15.006775527546912,13.033142729695015,15.665220923382336
14,uQJRK,14.627316467266468,17.504516788466375,11.754562224184664
15,djuHU,17.041485556076196,12.614281105006638,6.100245946936028
16,gPWjC,14.890962311966549,17.815755208037324,16.003909690176034
17,EEpbA,15.245296503616888,16.231053340165523,16.58304209112697
18,HOJSR,23.755140864727245,13.716469613531013,12.0311361018755
19,dKjLX,14.466484364200271,14.564678793489003,18.99475609737492
20,MVXRS,21.907313527216917,14.63878785566744,6.760624450179082
21,bDYhQ,17.270692985784805,16.85891910904304,10.67134945474322
22,JkykK,24.458548168497515,15.828700557688778,0.7105514090636977
23,CqPlo,19.819907414929997,13.77374306923841,15.382576780362209
24,gLhof,17.66691751193391,16.55397585762627,19.66522421912142
25,luGpF,20.21166722827321,12.386713859886418,6.443583649665923
26,FLPWU,18.583496228543225,17.05631806254795,12.41172358920238
27,bVFdy,20.77161277603796,16.743589209499063,7.78327380544914
28,zeeYA,15.37439441991618,12.044855080667276,1.1559656505747085
29,jFxWG,25.96388603375061,17.577086592164562,6.77112459615355
30,macCb,19.10667053236061,16.606127334618726,16.352365636232566
31,Mshbm,18.178767676488423,12.481530368030466,17.08436310413396
32,vEilp,22.522518179795178,13.678583750526066,1.57033459335171
33,cpGYx,18.36679287794399,16.31670920171505,17.61639342729866
34,NZLKO,23.999291660345094,14.978269825011694,15.212443955389698
35,qHqMU,19.451248692325105,12.09412313566604,5.151119105122772
36,Objmq,22.634700959185217,15.750117710424174,3.817543868510007
37,EKqte,15.289438597302638,14.729162201155612,4.526942554491331
38,pmdhv,24.153430226661342,13.619335706907268,11.86097697337182
39,eewuQ,22.82861584133732,14.766053586272776,12.880965268738516
40,cEndM,16.54060134154359,17.011833877793162,0.6827712796752383
41,xjVTm,15.74343211694944,17.55413129872057,17.349016683436826
42,cclEY,17.795508184707494,17.049584189597276,8.718268995297962
43,PcaTK,25.712847032382854,13.205750603906708,16.496063184352575
44,qAwfW,17.081978894804703,14.249307416850876,5.950463796963663
45,quuna,19.4735265073596,12.413294419940264,5.029357594340009
46,OizlR,14.360242708608036,14.222829140775517,15.156364916555972
47,QEJme,18.766730354794788,15.208483715639405,11.337879759637344
48,iWsAW,20.85584018519723,13.975329972302005,3.6605040667809474
49,zlKRW,25.43749535009558,17.212509356025055,5.672382643423386
50,WMmfC,20.20083253928077,15.66869110930222,15.486089346008743
51,tUahu,23.82928791413225,13.757427415313712,3.966270681011126
52,NHsYt,20.565531710826807,14.745271858906282,17.98053149231878
53,whgdg,14.489420161226215,16.917586019426906,6.086510293922154
54,XzwqS,17.78009930227729,13.214858248909591,18.50767698042773
55,nyZXN,20.90659409397324,14.743779442110078,16.447288812481087
56,fROzV,25.40712759117349,15.31334874520573,11.00346267551041
57,EQuAv,24.3095643170148,15.88145994550966,17.888180191447177
58,MrLWm,16.74026737014617,13.07656230149339,19.84472518141782
59,OWHVS,16.641317960229962,13.527736487839505,5.051355688146977
60,XqVvC,16.414075605366808,17.231653901341762,17.798156020839883
61,SmtHh,25.06998675563004,15.789679181862716,5.780005588284693
62,oVRyU,24.23199383722065,15.374513314824917,18.54010767062102
63,nmcAQ,23.298601187035384,14.227896220379074,16.97202532866742
64,CXInx,18.712821370690733,13.760811055710285,1.9598906565420204
65,Ehmip,20.0525684515852,17.58029082674851,3.14469343824926
66,yABVs,19.571980937541834,14.815482356761002,17.72145473112342
67,MqxHP,17.040777290712473,13.958078400222783,16.358132008352516
68,sIfrg,20.06033655378521,12.032248611228203,18.239049956514364
69,PEeIo,14.365958574233051,14.459390579493686,2.2659031961745435
70,NExPQ,15.581724481969507,16.019745272914598,15.651838102229105
71,zoBiH,24.63907515402736,12.73892493333008,6.784830647670694
72,OybdY,23.02015720437708,17.86828472284141,18.94052332403364
73,mXDRG,19.074420908709044,13.541348647782163,4.9046777817257965
74,DaAGH,20.205804347406527,13.581398953785971,7.79966782296264
75,Bzuyo,18.43998663151973,14.1505373284468,4.565255078568537
76,uuAxo,22.88935840592807,15.83780843830925,18.63572137394196
77,KDawb,23.41024615078496,16.827396605171838,0.3874621630072039
78,BMGNL,23.15942228243791,14.89453321597896,4.752531883018067
79,uYpdU,22.671340698013395,13.983087611237124,16.858932724326582
80,nLimi,16.45405206431355,15.844827940707145,18.798714325075405
81,nKqTB,18.055639750885742,12.438723185554924,3.146270169300862
82,sPVye,19.638145219804095,16.924065034209196,3.463197821540556
83,wYqSL,17.969515897131867,12.406649019469205,16.100872904853002
84,KAHQr,23.05928240189995,16.889169941734412,7.37365619897383
85,gDURK,17.952242290999457,13.56247522977,17.383654282317448
86,qNBAy,15.658785041424046,15.778443003804146,4.507577880827915
87,eJSph,18.788485424579648,15.37752121557395,0.2765288248356534
88,sMeGi,25.758973193388563,15.795023384478952,9.446617236123886
89,Jdpie,16.71057695520291,16.70174873304963,3.327601752434315
90,qlVsG,21.34590390731875,14.22939846349445,1.2613789430147482
91,wfEwb,19.195676598076474,16.393627330481923,7.1578033378165085
92,uKeFq,14.85229481179192,17.840399717931597,16.913353023408398
93,JNomR,19.854519271976717,14.699176219827851,19.56379430685276
94,nunsb,22.42597194377975,14.986438435513286,13.23198368588789
